DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
CASTELLO DEL GOCEANO,Via Castello,Burgos (SS) - 07010, ,http://www.sareggia.it,"Italia, Burgos (SS) - 07010, Via Castello","40.389363,8.99642",SI
CASTELLO DELLA FAVA, ,Posada (NU) - 08020,Colle di Posada,,"Italia, Posada (NU) - 08020,  ","40.6303604,9.7148918",SI
CASTELLO DI ACQUAFREDDA, ,Siliqua (CA) - 09010,"Su Casteddu, Strada Statale n. 293",http://www.castelloacquafredda .it,"Italia, Siliqua (CA) - 09010,  ","39.3000114,8.811358499999999",SI
CASTELLO DI PEDRES, ,Olbia (OT) - 07026,Agro di Olbia – Strada per Lioiri,http://www.sbappsaessnu.beniculturali.it,"Italia, Olbia (OT) - 07026,  ","40.92357639999999,9.4964429",SI
CHIOSTRO DI SAN DOMENICO,via XXIV Maggio,Cagliari (CA) - 09100, ,http://www.sbappsaecaor.beniculturali.it,"Italia, Cagliari (CA) - 09100, via XXIV Maggio","39.2187015,9.119904700000001",SI
CITTÀ ROMANA E PARCO ARCHEOLOGICO DI TURRIS LIBISONIS,"Via Ponte Romano, n.99",Porto Torres (SS) - 07046, ,http://www.ibiscoop.com,"Italia, Porto Torres (SS) - 07046, Via Ponte Romano, n.99","40.8385006,8.3970203",SI
COMPENDIO GARIBALDINO DI CAPRERA, ,La Maddalena (OT) - 07024,Isola di Caprera,http://www.compendiogaribaldino.it,"Italia, La Maddalena (OT) - 07024,  ","41.22029999999999,9.38944",SI
COMPLESSO ARCHEOLOGICO DI NURAGHE APPIU, ,Villanova Monteleone (SS) - 07019,Monte Cuccu,http://www.laborintus.info,"Italia, Villanova Monteleone (SS) - 07019,  ","40.5006808,8.474357",SI
COMPLESSO ARCHEOLOGICO DI POTTU CODINU, ,Villanova Monteleone (SS) - 07019,Pottu Codinu,http://www.laborintus.info,"Italia, Villanova Monteleone (SS) - 07019,  ","40.5006808,8.474357",SI
COMPLESSO NURAGICO DI SANTU ANTINE, ,Torralba (SS) - 07048,S.S. 131,http://www.nuraghesantuantine.it,"Italia, Torralba (SS) - 07048,  ","40.5150809,8.7616642",SI
FONTE SACRA SU TEMPIESU, ,Orune (NU) - 08020,Sa Costa e Sa Binza,http://www.sutempiesu.it,"Italia, Orune (NU) - 08020,  ","40.412898,9.3665656",SI
FORTEZZA DI MONTE ALTURA, ,Palau (OT) -, ,http://www.palau.it,"Italia, Palau (OT) -,  ","41.1823684,9.3810866",SI
FORTEZZA VECCHIA, ,Villasimius (CA) -,Porto turistico,http://www.villasimiusweb.com,"Italia, Villasimius (CA) -,  ","39.1457764,9.5169899",SI
IPOGEO DI SAN SALVATORE, ,Cabras (OR) - 09072,Villaggio di San Salvatore,,"Italia, Cabras (OR) - 09072,  ","39.9290726,8.5305514",SI su prenotazione)
MUSEO ARCHEOLOGICO NAZIONALE,Piazza Arsenale,Cagliari (CA) - 09100, ,http://www.archeocaor.beniculturali.it,"Italia, Cagliari (CA) - 09100, Piazza Arsenale","39.2216977,9.1166828",SI
MUSEO ARCHEOLOGICO NAZIONALE G. ASPRONI,Via Manno,Nuoro (NU) - 08100, ,http://www.museoarcheologiconuoro.beniculturali.it/,"Italia, Nuoro (NU) - 08100, Via Manno","40.32024210000001,9.3264377",SI
"MUSEO NAZIONALE ARCHEOLOGICO - ETNOGRAFICO \""GIOVANNI ANTONIO SANNA\",Via Roma,Sassari (SS) - 07100, ,http://www.museosannasassari.beniculturali.it/,"Italia, Sassari (SS) - 07100, Via Roma","40.7218498,8.5675119",SI
NECROPOLI DI LI MURI, ,Arzachena (OT) - 07021,S.S.427,,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
NURAGHE ALBUCCIU, ,Arzachena (OT) - 07021,S.S. 125,http://www.anemos-arzachena.it,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
NURAGHE ARRUBIU, ,Orroli (CA) - 08030,Pedru Accraxiu,,"Italia, Orroli (CA) - 08030,  ","39.6938053,9.2525876",SI
NURAGHE E VILLAGGIO NURAGICO LA PRISGIONA, ,Arzachena (OT) - 07021,Capichera,prisgiona.beepworld.it/,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
NURAGHE IS PARAS, ,Isili (CA) - 08033,S.S. 128,,"Italia, Isili (CA) - 08033,  ","39.7421871,9.1058135",SI
NURAGHE MAJORI, ,Tempio Pausania (OT) - 07029,Nuraghe Majori,http://www.gallurarcheologica.com,"Italia, Tempio Pausania (OT) - 07029,  ","40.9031356,9.104066999999999",SI
PINACOTECA MUS'A AL CANOPOLENO,Via Santa Caterina,Sassari (SS) - 07100,Sassari,http://www.pinacotecamusa.it,"Italia, Sassari (SS) - 07100, Via Santa Caterina","40.7270586,8.5593192",SI
PINACOTECA NAZIONALE,Piazza Arsenale,Cagliari (CA) - 09100,Cagliari,http://www.pinacoteca.cagliari.beniculturali.it,"Italia, Cagliari (CA) - 09100, Piazza Arsenale","39.2216977,9.1166828",SI
ROMANZESU,ss 389,Bitti (NU) - 08021, ,http://www.coopistelai.com,"Italia, Bitti (NU) - 08021, ss 389","40.481321,9.3887474",SI
SANTUARIO FEDERALE NURAGICO DI SANTA VITTORIA, ,Serri (CA) - 08030,Giara di Serri,,"Italia, Serri (CA) - 08030,  ","39.7033185,9.1458847",SI
SPAZIO SAN PANCRAZIO,"Cittadella dei Musei - Piazza Arsenale, 1",Cagliari (CA) -, ,http://www.sbappsaecaor.beniculturali.it,"Italia, Cagliari (CA) -, Cittadella dei Musei - Piazza Arsenale, 1","39.2224944,9.1169076",SI
TEMPIETTO MALCHITTU, ,Arzachena (OT) - 07021,S.S.125,http://www.anemos-arzachena.it,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
TISCALI, ,Dorgali (NU) - 08022,S.S. 125,http://www.ghivine.com,"Italia, Dorgali (NU) - 08022,  ","40.2891321,9.5913234",SI
TOMBA DEI GIGANTI DI CODDU VECCHIU, ,Arzachena (OT) - 07021,Capichera,,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
TOMBA DEI GIGANTI LI LOLGHI, ,Arzachena (OT) - 07021,S.S. 427,,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
TOMBA DI GIGANTI MORU, ,Arzachena (OT) - 07021,S.S. 125,http://www.anemos-arzachena.it,"Italia, Arzachena (OT) - 07021,  ","41.0780118,9.3901541",SI
TORRE DELL'ELEFANTE,Piazza San Giuseppe,Cagliari (CA) - 09100, ,http://www.camuweb.it,"Italia, Cagliari (CA) - 09100, Piazza San Giuseppe","39.2180666,9.1152366",SI
TORRE DI SAN PANCRAZIO,Piazza Indipendenza,Cagliari (CA) - 09100, ,http://www.camuweb.it,"Italia, Cagliari (CA) - 09100, Piazza Indipendenza","39.22144189999999,9.1166895",SI
VILLAGGIO NURAGICO SERRA ORRIOS,loc. Serra Orrios,Dorgali (NU) - 08022, ,http://www.ghivine.com/,"Italia, Dorgali (NU) - 08022, loc. Serra Orrios","40.2891321,9.5913234",SI
ALTARE DI MONTE D’ACCODDI,"Strada Statale 131 - Km 222,200",Sassari (SS) - 07100, ,http://www.comune.sassari.it/,"Italia, Sassari (SS) - 07100, Strada Statale 131 - Km 222,200","40.7834405,8.4716822",SI
MUSEO ARCHEOLOGICO NAZIONALE DI COSA,via delle Ginestre,Orbetello (GR) - 58015,Ansedonia,http://www.archeotoscana.beniculturali.it/index.php?it/242/ansedonia-citt-di-cosa,"Italia, Orbetello (GR) - 58015, via delle Ginestre","42.4118404,11.2841408",SI
